trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
308,False,"{'a': 0.05, 'e': 0.045709317994222766}",20,7,21.259643094071443,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.05, 'e': 0.04525222481428054}",25,0,43.467931304679496,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.05, 'e': 0.04479970256613774}",25,15,20.536824561902517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.05, 'e': 0.044351705540476356}",20,16,6.473675494326391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.05, 'e': 0.043908188485071595}",25,14,6.354788614866635,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.05, 'e': 0.04346910660022087}",20,15,12.356865387732926,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.05, 'e': 0.04303441553421867}",20,0,16.606212373861712,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.05, 'e': 0.04260407137887648}",30,13,29.92758635066909,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.05, 'e': 0.04217803066508771}",25,17,16.242636280079633,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.05, 'e': 0.04175625035843684}",20,5,23.185828940768797,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.05, 'e': 0.041338687854852466}",20,8,20.464059384834925,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.05, 'e': 0.040925300976303945}",20,10,15.078300302121898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.05, 'e': 0.0405160479665409}",20,10,19.453770522270208,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.05, 'e': 0.040110887486875496}",20,14,10.774744002936577,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.05, 'e': 0.03970977861200674}",25,3,29.757210255901274,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.05, 'e': 0.039312680825886674}",30,19,20.165323517546625,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.05, 'e': 0.038919554017627804}",25,16,16.702204209166126,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.05, 'e': 0.03853035847745152}",25,17,14.696356111545287,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.05, 'e': 0.03814505489267701}",20,9,21.681353643960236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.05, 'e': 0.03776360434375024}",20,9,21.202003165215864,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.05, 'e': 0.03738596830031274}",25,16,17.163923228868622,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.05, 'e': 0.03701210861730961}",30,8,37.78102418101134,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.05, 'e': 0.03664198753113651}",20,13,12.576381969426324,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.05, 'e': 0.036275567655825146}",35,19,27.25771065539505,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.05, 'e': 0.03591281197926689}",30,18,20.24694945752395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.05, 'e': 0.035553683859474224}",30,12,31.913688443964627,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.05, 'e': 0.035198147020879485}",20,13,14.904900761334494,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.05, 'e': 0.03484616555067069}",20,11,17.538927332108628,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.05, 'e': 0.03449770389516398}",25,13,25.4122008792826,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.05, 'e': 0.03415272685621234}",25,15,15.71246082880974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.05, 'e': 0.03381119958765022}",20,16,9.651485718786427,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.05, 'e': 0.03347308759177372}",20,0,33.782758661626055,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.05, 'e': 0.03313835671585598}",25,8,27.91692561648006,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.05, 'e': 0.03280697314869742}",20,11,15.391746453874251,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.05, 'e': 0.03247890341721044}",25,13,6.190803088488853,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
343,False,"{'a': 0.05, 'e': 0.03215411438303834}",20,7,24.15446017840374,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.05, 'e': 0.031832573239207955}",30,14,30.005482735604996,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
